"Отметка времени","1.","2.","3.","4.","5.","6.","7.","8.","9.","10."
"2021/06/10 10:00:42 AM GMT+3","Да","Да","Да","Да","Да","Да","Да","Да","Да","Да"
"2021/06/10 10:14:07 AM GMT+3","Да","Нет","Да","Нет","Да","Нет","Да","Да","Нет","Да"
"2021/06/10 10:18:14 AM GMT+3","Да","Да","Нет","Нет","Да","Да","Да","Да","Нет","Да"
"2021/06/10 10:20:39 AM GMT+3","Да","Да","Да","Да","Да","Да","Да","Да","Да","Да"
"2021/06/10 10:25:52 AM GMT+3","Да","Нет","Да","Нет","Нет","Да","Да","Да","Нет","Нет"
"2021/06/10 10:36:15 AM GMT+3","Да","Нет","Да","Нет","Да","Да","Да","Да","Да","Нет"
"2021/06/10 10:41:00 AM GMT+3","Да","Нет","Да","Да","Нет","Да","Да","Да","Да","Да"
"2021/06/10 11:08:19 AM GMT+3","Нет","Да","Да","Нет","Да","Да","Да","Да","Да","Да"
"2021/06/10 11:33:13 AM GMT+3","Да","Да","Да","Да","Нет","Да","Да","Да","Да","Да"
"2021/06/10 11:37:14 AM GMT+3","Да","Да","Да","Да","Да","Да","Нет","Да","Да","Нет"
"2021/06/10 11:59:32 AM GMT+3","Да","Нет","Да","Нет","Да","Да","Да","Да","Да","Да"
"2021/06/10 12:13:00 PM GMT+3","Да","Нет","Да","Нет","Да","Да","Да","Да","Нет","Нет"
"2021/06/10 12:18:32 PM GMT+3","Да","Нет","Да","Нет","Да","Да","Да","Нет","Нет","Нет"
"2021/06/10 1:28:46 PM GMT+3","Да","Нет","Да","Да","Да","Да","Да","Да","Нет","Нет"
"2021/06/11 3:05:07 PM GMT+3","Да","Да","Да","Да","Да","Нет","Да","Да","Да","Да"
"2021/06/11 3:05:25 PM GMT+3","Да","Да","Да","Да","Да","Да","Да","Да","Да","Да"
"2021/06/11 3:05:49 PM GMT+3","Да","Да","Да","Да","Да","Нет","Да","Да","Нет","Да"
"2021/06/11 3:09:39 PM GMT+3","Да","Да","Да","Да","Да","Да","Да","Да","Да","Да"
"2021/06/11 3:10:03 PM GMT+3","Да","Да","Да","Да","Нет","Нет","Да","Да","Да","Да"
"2021/06/11 3:10:18 PM GMT+3","Да","Да","Да","Да","Да","Да","Да","Да","Да","Да"